date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:06	34/34	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/robots.txt		(from )
08:45:08	275629/275629	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/index.html	(from )
08:45:13	208885/208885	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/about	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/about.html	(from http://www.bitexl.com/)
08:45:15	230815/230815	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/departments	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/departments.html	(from http://www.bitexl.com/)
08:45:21	282104/282104	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/events	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/events.html	(from http://www.bitexl.com/)
08:45:24	211929/211929	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/society	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/society.html	(from http://www.bitexl.com/)
08:45:29	248151/248151	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/sponsors	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/sponsors.html	(from http://www.bitexl.com/)
08:45:33	300613/300613	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/gallery	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/gallery.html	(from http://www.bitexl.com/)
08:45:35	32801/32801	---MC-	200	added ('OK')	text/javascript	date:Thu,%2010%20Aug%202017%2014:40:11%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.google-analytics.com/analytics.js	(from http://www.bitexl.com/)
08:45:36	245673/245673	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/blog	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/blog.html	(from http://www.bitexl.com/)
08:45:39	255002/255002	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202017%2004:42:40%20GMT	http://www.bitexl.com/contact	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/contact.html	(from http://www.bitexl.com/)
08:45:41	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Aug%202017%2003:15:40%20GMT	http://www.bitexl.com/POST	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/POST	(from http://www.bitexl.com/)
08:45:41	11891/11891	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252ef5c943baad21:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from http://www.bitexl.com/)
08:46:06	734313/734313	---M-Z	200	added ('OK')	application/javascript	etag:%229a75e9070e5eb0f0588856f917033f93%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.3.6.4.js	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.3.6.4.js	(from http://www.bitexl.com/)
08:46:10	515605/515605	---M--	200	added ('OK')	image/jpeg	etag:3580477753	http://img1.wsimg.com/isteam/ip/01d55b24-bf51-4ada-84c7-840f4858276c/dff917fe-3ebe-4aa8-8313-7d1ee3e47658.jpg	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/img1.wsimg.com/isteam/ip/01d55b24-bf51-4ada-84c7-840f4858276c/dff917fe-3ebe-4aa8-8313-7d1ee3e47658.jpg	(from http://www.bitexl.com/)
08:46:13	319894/319894	---M--	200	added ('OK')	image/jpeg	etag:%2283cfcef85f4387083565b34912e25db4%22	http://img1.wsimg.com/blobby/go/01d55b24-bf51-4ada-84c7-840f4858276c/downloads/1bm0uetrd_767994.jpg	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/img1.wsimg.com/blobby/go/01d55b24-bf51-4ada-84c7-840f4858276c/downloads/1bm0uetrd_767994.jpg	(from http://www.bitexl.com/)
08:46:15	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Aug%202017%2003:16:16%20GMT	http://www.bitexl.com/%22//img1.wsimg.com/isteam/ip/01d55b24-bf51-4ada-84c7-840f4858276c/072604cf-db42-410e-9850-a175804fac44.jpeg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:50,h:50,cg:true,m/cr=w:50,h:50,ax:c,ay:c%22	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/_/img1.wsimg.com/isteam/ip/01d55b24-bf51-4ada-84c7-840f4858276c/072604cf-db42-410e-9850-a175804fac44.jpeg/_/cr=t_0%,l_0%,w_100%,h_100%/rs=w_50,h_/cr=w_50,h_50,ax_c,ay_c_	(from http://www.bitexl.com/sponsors)
08:46:17	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Aug%202017%2003:16:17%20GMT	http://www.bitexl.com/edge/	C:/Users/Shivam%20Bhardwaj/Desktop/webprojects/Bitexl/www.bitexl.com/edge/index.html	(from http://www.bitexl.com/gallery)
